"photo_id","year","county","point_x","point_y"
"ARO-1-2",1938,"Wayne",312119.47,4766282.54
"ARO-1-4",1938,"Wayne",311827.80,4769395.46
"ARO-1-6",1938,"Wayne",312066.20,4772470.96
"ARO-1-8",1938,"Wayne",312071.95,4775654.97
"ARO-1-10",1938,"Wayne",312775.33,4778444.98
"ARO-1-12",1938,"Wayne",312598.02,4781239.53
"ARO-1-14",1938,"Wayne",312658.53,4784221.08
"ARO-1-16",1938,"Wayne",312673.66,4787335.76
"ARO-1-18",1938,"Wayne",312885.47,4790435.31
"ARO-1-20",1938,"Wayne",312809.82,4793368.44
"ARO-1-22",1938,"Wayne",309829.57,4794603.43
"ARO-1-24",1938,"Wayne",309771.26,4791385.68
"ARO-1-26",1938,"Wayne",309698.38,4788080.48
"ARO-1-33",1938,"Wayne",309540.98,4778323.97
"ARO-1-35",1938,"Wayne",309565.45,4775360.66
"ARO-1-37",1938,"Wayne",309369.64,4772404.69
"ARO-1-39",1938,"Wayne",309198.31,4769416.89
"ARO-1-41",1938,"Wayne",308856.32,4766141.23
"ARO-1-44",1938,"Wayne",305042.28,4767910.85
"ARO-1-46",1938,"Wayne",305406.92,4770916.53
"ARO-1-48",1938,"Wayne",305365.24,4774022.47
"ARO-1-50",1938,"Wayne",305627.79,4776768.52
"ARO-1-52",1938,"Wayne",306111.22,4779767.46
"ARO-1-54",1938,"Wayne",306169.05,4782796.83
"ARO-1-56",1938,"Wayne",306330.98,4785606.43
"ARO-2-1",1938,"Wayne",353577.50,4797883.57
"ARO-2-3",1938,"Wayne",353302.65,4795153.45
"ARO-2-5",1938,"Wayne",353302.65,4792242.42
"ARO-2-7",1938,"Wayne",353502.54,4789364.87
"ARO-2-9",1938,"Wayne",356469.32,4783833.78
"ARO-2-11",1938,"Wayne",356760.47,4786865.10
"ARO-2-13",1938,"Wayne",356733.07,4789541.47
"ARO-2-15",1938,"Wayne",356531.14,4792880.60
"ARO-2-17",1938,"Wayne",356721.85,4795948.24
"ARO-2-19",1938,"Wayne",356261.90,4798454.97
"ARO-2-23",1938,"Wayne",350001.40,4795463.03
"ARO-2-25",1938,"Wayne",350154.16,4792730.45
"ARO-2-27",1938,"Wayne",349987.52,4789514.60
"ARO-2-29",1938,"Wayne",350084.73,4786820.91
"ARO-2-32",1938,"Wayne",347136.67,4786874.22
"ARO-2-34",1938,"Wayne",347111.53,4790061.75
"ARO-2-36",1938,"Wayne",347087.86,4792799.32
"ARO-2-38",1938,"Wayne",347348.16,4795853.97
"ARO-2-41",1938,"Wayne",344058.97,4795281.05
"ARO-2-43",1938,"Wayne",343834.17,4792919.19
"ARO-2-45",1938,"Wayne",343798.68,4791421.04
"ARO-2-47",1938,"Wayne",343644.87,4787189.79
"ARO-2-49",1938,"Wayne",341475.28,4788346.74
"ARO-2-51",1938,"Wayne",341023.99,4791036.07
"ARO-2-53",1938,"Wayne",341392.06,4793650.56
"ARO-2-57",1938,"Wayne",338312.01,4792448.34
"ARO-2-59",1938,"Wayne",337962.21,4789490.84
"ARO-2-61",1938,"Wayne",338124.62,4786588.30
"ARO-2-62",1938,"Wayne",335126.27,4783393.43
"ARO-2-64",1938,"Wayne",335026.33,4785880.43
"ARO-2-66",1938,"Wayne",334676.52,4788572.31
"ARO-2-68",1938,"Wayne",334489.12,4790926.87
"ARO-2-70",1938,"Wayne",334514.11,4793713.70
"ARO-2-74",1938,"Wayne",331928.03,4793722.06
"ARO-2-76",1938,"Wayne",331815.60,4790854.51
"ARO-2-78",1938,"Wayne",332010.11,4787560.08
"ARO-2-80",1938,"Wayne",331621.81,4784585.55
"ARO-2-82",1938,"Wayne",331617.39,4781389.67
"ARO-2-84",1938,"Wayne",328884.93,4787627.45
"ARO-2-86",1938,"Wayne",329078.70,4790354.60
"ARO-2-88",1938,"Wayne",328716.99,4793262.60
"ARO-2-90",1938,"Wayne",328355.29,4795930.33
"ARO-2-93",1938,"Wayne",326043.64,4794393.77
"ARO-2-95",1938,"Wayne",325232.86,4791533.87
"ARO-2-97",1938,"Wayne",324858.07,4788439.91
"ARO-2-99",1938,"Wayne",325318.82,4784993.28
"ARO-2-101",1938,"Wayne",322356.24,4789150.74
"ARO-2-103",1938,"Wayne",322311.85,4791858.86
"ARO-2-105",1938,"Wayne",322422.83,4794629.14
"ARO-2-107",1938,"Wayne",319148.08,4795064.84
"ARO-2-109",1938,"Wayne",319069.04,4791540.78
"ARO-2-111",1938,"Wayne",318937.31,4790119.11
"ARO-3-2",1938,"Wayne",331297.15,4778848.96
"ARO-3-4",1938,"Wayne",331181.57,4775461.11
"ARO-3-6",1938,"Wayne",331173.98,4772999.07
"ARO-3-8",1938,"Wayne",330862.47,4769884.90
"ARO-3-10",1938,"Wayne",330539.50,4766901.04
"ARO-3-12",1938,"Wayne",330795.19,4763836.44
"ARO-3-15",1938,"Wayne",327040.67,4760364.73
"ARO-3-17",1938,"Wayne",327161.78,4763334.98
"ARO-3-19",1938,"Wayne",327269.44,4766533.30
"ARO-3-21",1938,"Wayne",327404.01,4769545.91
"ARO-3-23",1938,"Wayne",327742.95,4772317.57
"ARO-3-25",1938,"Wayne",327820.45,4775259.15
"ARO-3-27",1938,"Wayne",327820.45,4778528.86
"ARO-3-29",1938,"Wayne",327941.19,4781687.61
"ARO-3-31",1938,"Wayne",327959.55,4784728.66
"ARO-3-34",1938,"Wayne",325072.03,4783158.25
"ARO-3-36",1938,"Wayne",324957.80,4780198.61
"ARO-3-38",1938,"Wayne",324513.83,4776951.64
"ARO-3-40",1938,"Wayne",325069.31,4773886.34
"ARO-3-42",1938,"Wayne",324707.60,4770784.87
"ARO-3-44",1938,"Wayne",324643.01,4767869.42
"ARO-3-46",1938,"Wayne",324927.21,4764946.21
"ARO-3-48",1938,"Wayne",321025.96,4764932.16
"ARO-3-50",1938,"Wayne",321223.34,4767924.01
"ARO-3-52",1938,"Wayne",321335.57,4770889.79
"ARO-3-54",1938,"Wayne",321351.60,4773903.66
"ARO-3-56",1938,"Wayne",321319.54,4776808.51
"ARO-3-58",1938,"Wayne",321509.92,4779715.03
"ARO-3-60",1938,"Wayne",321794.45,4782877.05
"ARO-3-62",1938,"Wayne",321731.22,4785828.29
"ARO-3-65",1938,"Wayne",318948.88,4786208.82
"ARO-3-67",1938,"Wayne",318711.17,4783321.01
"ARO-3-69",1938,"Wayne",318463.12,4780573.76
"ARO-3-71",1938,"Wayne",318429.03,4777673.22
"ARO-3-73",1938,"Wayne",318412.03,4774835.41
"ARO-3-75",1938,"Wayne",318123.07,4772035.00
"ARO-3-77",1938,"Wayne",317953.10,4769224.39
"ARO-3-79",1938,"Wayne",317817.12,4766396.78
"ARO-3-80",1938,"Wayne",317749.13,4764840.58
"ARO-3-83",1938,"Wayne",315167.98,4766465.43
"ARO-3-85",1938,"Wayne",315217.96,4769469.63
"ARO-3-87",1938,"Wayne",315380.37,4772331.42
